model,id,gold_label,dataset,dialect,sarcasm,original_text,paraphrase,original_prediction,paraphrase_prediction,error_category,error_explanation
Gemini 2.5 Flash,SENT_010331,negative,ArSarcasm,egypt,True,مصر دولة بس مش أوي #المادة_الأولى,مصر دولة على الورق، لكن في الحقيقة هي مش كده.,negative,positive,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
Gemini 2.5 Flash,SENT_018865,neutral,ArSarcasm,msa,False,#بروباجندا | #الجيش_السوري يعتزم تحرير #حلب قبل تنصيب «#ترامب»رسمياالتفاصيل على الرابط التالي https://t.co/zQndoda30U,ينوي الجيش السوري تحرير حلب قبل التنصيب الرسمي لترامب.,neutral,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_012322,positive,ArSarcasm,egypt,False,للمرة الأولى ميريام فارس تنشر فيديو لطفلها جايدن وتنهال عليها التعليقات...وشاهد زوجها الوسيم وصور زفافها... https://t.co/A110FgzmeU,لأول مرة، ميريام فارس تكشف عن فيديو لطفلها جايدن وتنهال عليها التعليقات بكثافة. وشاهد أيضاً زوجها الوسيم وصور زفافها.,neutral,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
Gemini 2.5 Flash,SENT_007150,negative,ASTD,unknown,unknown,# تقريبا دي اكتر حاجة قريتها جسدت المذبحة اللي حصلت لاقرب ما يمكن #مذبحة_بورسعيد,على ما أظن، مفيش حاجة قريتها نقلت حقيقة المذبحة اللي حصلت زي النص ده بالظبط.,negative,positive,paraphrase_sentiment_shift,The paraphrase may have changed the sentiment strength or polarity.
Gemini 2.5 Flash,SENT_005504,negative,ASTD,unknown,unknown,"مقتل سعيد فضة أكبر مورد بلطجية فى #شبرا_الخيمة وعميل أمن الدولة """,تأكيد مقتل سعيد فضة، المعروف بكونه أكبر مورد للبلطجية في شبرا الخيمة، وعميل جهاز أمن الدولة.,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_013559,positive,ArSarcasm,msa,False,صورة: كاسياس يحتفل بالانتصار في ديربي مدريد https://t.co/JasRYmGOkb #غزة #فلسطين,تُظهر هذه الصورة كاسياس وهو يحتفل بالانتصار في ديربي مدريد. #غزة #فلسطين,positive,neutral,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_001501,neutral,ASTD,unknown,unknown,عائلة إماراتية في سوق واقف ومشاعر أخويه غير مستغربه #سحب_السفراء_من_قطر,منظر عائلة إماراتية بسوق واقف والمشاعر الأخوية الصادقة بينهم، شيء متعودين عليه وما هو غريب أبدًا.,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_013906,neutral,ArSarcasm,msa,False,تنمية بشرية - 3 دقائق للتأجيل والمماطلة #ماذا_لو_المدارس_مختلطهxatoildb.thshttps://t.co/WH2pPoi0UX,محتوى في مجال التنمية البشرية، مدته 3 دقائق، يتناول التأجيل والمماطلة. #ماذا_لو_المدارس_مختلطه https://t.co/WH2pPoi0UX,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_005875,positive,ASTD,unknown,unknown,#كلمة_شكر ل عآدل عبدالله ع البلنتي و الطرد اللي حصله ، اصلاً الطرد احلى 😳😳,حابين نشكر عادل عبدالله على البلنتي اللي أخذه، وعلى الطرد اللي حصله كمان. أصلاً، الطرد كان أحلى!,positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
Gemini 2.5 Flash,SENT_014641,positive,ArSarcasm,msa,False,تتعانق الاخوات#حلب#بورما#غروزني#سربرنيتشا#غزةمع اختهم الكبرى #القدس في خدمة المصالح العليا للامة العربية والاسلامية,تتوحد حلب، بورما، غروزني، سربرنيتشا، وغزة، كأخوات، مع القدس أختهن الكبرى، في سبيل تحقيق المصالح العليا للأمة العربية والإسلامية.,negative,positive,paraphrase_clarified_sentiment,The paraphrase made the sentiment clearer than the original text.
Gemini 2.5 Flash,SENT_012903,neutral,ArSarcasm,msa,False,لا ترتبط بفتاة لا تجيد الطبخ فالحب لن يطبخ لك الغدانزار برياني(:😂#معرض_الكويت_الدولي_للكتاب,نصيحة: لا ترتبط ببنت ما تعرف تطبخ، لأن الحب بروحه ما راح يسويلك غداك، ولا حتى برياني نزار! 😂,positive,neutral,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
