id,text,sentiment_original,sentiment_unified,dataset,dialect,sarcasm,source,split,paraphrase,paraphrase_model,paraphrase_temperature,random_seed
SENT_020165,2008 الشرطة التركية اليوم تفرق المظاهرات ضد اردوغان بالقوة بينما يندد هو بفض اعتصامات رابعة,negative,negative,ArSarcasm,msa,True,astd,test,الشرطة التركية في عام 2008 فرّقت بعنف المظاهرات المناهضة لأردوغان، وهو ذاته الذي يندد اليوم بفض اعتصامات رابعة.,gemini-2.5-flash,0.7,42
SENT_006115,خطاب مرسي بداية جيدة نتمنى ان يكون ذلك بداية لتوحيد الصفوف ضد العسكر,POS,positive,ASTD,unknown,unknown,ASTD,full,خطاب مرسي ده بداية كويسة فعلًا، ويا رب يكون المدخل اللي يوحد الصفوف في وش العسكر.,gemini-2.5-flash,0.7,42
SENT_018655,#موسكو ستطلب من #الناتو ردودا بناءة#اسأل_أكثرhttps://t.co/sf4YPWnbKB https://t.co/oKndG3ucgI,neutral,neutral,ArSarcasm,msa,False,semeval,test,موسكو ستطالب الناتو بردود بناءة.,gemini-2.5-flash,0.7,42
SENT_002182,وحكاية إنه يكتب البذاءات دي بقت قديمة خالصده أكثر الأفلام إسفافا أرقى من خطب بعض مشايخكم اللي طلعتوهم على منصة دعم كذب الرئيسإلعبوا غيرها,NEG,negative,ASTD,unknown,unknown,ASTD,full,حكاية كتابته للبذاءات دي أصبحت حجة قديمة ومستهلكة جداً. أسوأ الأفلام وأكثرها انحطاطاً، أشرف من خطب بعض مشايخكم اللي صعدتوهم لمنصة تأييد أكاذيب الرئيس. إلعبوا غيرها.,gemini-2.5-flash,0.7,42
SENT_009322,يامبرراتي ياللي مش مكسوف من نفسكماكانش حد هيفتح بقه لو رئيسك قال من الأول انا مااشتغلتش مع ناسا مباشرة ولاعمري رحتها كنت في جامعتي بس,NEG,negative,ASTD,unknown,unknown,ASTD,full,يا اللي عمال تبرر ومش بتستحي من نفسك، ما كانش حد هيقدر يتكلم لو رئيسك صرّح من البداية إنه ماشتغلش مع ناسا بشكل مباشر، ولا زارها في أي وقت، وإنه كان كل اللي عمله إنه كان في جامعته.,gemini-2.5-flash,0.7,42
SENT_008145,شاهد - آخر كلام: لماذا مليونية الجمعة 8 يوليو # والد أحد شهداء,POS,positive,ASTD,unknown,unknown,ASTD,full,شاهد ضمن 'آخر كلام': لماذا تُنظّم مليونية الجمعة 8 يوليو؟ والد أحد الشهداء يوضح.,gemini-2.5-flash,0.7,42
SENT_015883,#افضل_طقم_لروجر_فيدررأستراليا 2012مجررررررررم  https://t.co/wcUyd5u2kN,negative,negative,ArSarcasm,egypt,False,semeval,train,أفضل طقم لروجر فيدرر في أستراليا 2012، يا له من إجرام! ❤️,gemini-2.5-flash,0.7,42
SENT_003924,"بخصوص التحرش #تحرش #حقيقة #بنات يقولون لو تسترت البقره ماتعرضلها الثور ""̮",OBJ,neutral,ASTD,unknown,unknown,ASTD,full,يتداولون في موضوع التحرش كلام مفاده أن البقرة لو تسترت، الثور ما كان تعرضلها.,gemini-2.5-flash,0.7,42
SENT_018866,اظن ان من افسد شيئا فعليه اصلاحه يجب اعلان الجماعه الاسلاميه والاخوان منظمات ارهابية واصلاح ما افسدو…,negative,negative,ArSarcasm,msa,False,astd,test,أرى بوضوح أن من يتسبب في إفساد أمر ما، فعليه مسؤولية إصلاحه. وعليه، يجب تصنيف الجماعة الإسلامية والإخوان كمنظمات إرهابية، تمهيداً لإصلاح ما ألحقوه من ضرر.,gemini-2.5-flash,0.7,42
SENT_010331,مصر دولة بس مش أوي #المادة_الأولى,negative,negative,ArSarcasm,egypt,True,astd,train,مصر دولة على الورق، لكن في الحقيقة هي مش كده.,gemini-2.5-flash,0.7,42
SENT_018865,#بروباجندا | #الجيش_السوري يعتزم تحرير #حلب قبل تنصيب «#ترامب»رسمياالتفاصيل على الرابط التالي https://t.co/zQndoda30U,neutral,neutral,ArSarcasm,msa,False,semeval,test,ينوي الجيش السوري تحرير حلب قبل التنصيب الرسمي لترامب.,gemini-2.5-flash,0.7,42
SENT_012322,للمرة الأولى ميريام فارس تنشر فيديو لطفلها جايدن وتنهال عليها التعليقات...وشاهد زوجها الوسيم وصور زفافها... https://t.co/A110FgzmeU,positive,positive,ArSarcasm,egypt,False,semeval,train,لأول مرة، ميريام فارس تكشف عن فيديو لطفلها جايدن وتنهال عليها التعليقات بكثافة. وشاهد أيضاً زوجها الوسيم وصور زفافها.,gemini-2.5-flash,0.7,42
SENT_010681,RT @RM_News4: فيديو | تصدي رائع من كارفخال على خط المرمى. يتليه تألق الحارس كاسيا في تدريبات ريال مدريد اليوم . https://t.co/GR3YpQ8g5Y,positive,positive,ArSarcasm,msa,False,semeval,train,في تدريبات ريال مدريد اليوم، برز كارفخال بتصديه المذهل على خط المرمى، وقد تبع ذلك تألق لافت من الحارس كاسيا.,gemini-2.5-flash,0.7,42
SENT_010202,يوم 7/7، يوم هام في مشروع (العلم قوة) وهدفه جذب وتسكين 100 ألف أمي داخل الفصول، في يوم واحد، عن طريق 10 ألاف,positive,positive,ArSarcasm,msa,False,astd,train,"يُشكل السابع من يوليو يومًا بالغ الأهمية لمشروع ""العلم قوة""، والذي يهدف إلى استقطاب وإلحاق 100 ألف شخص أمي بالفصول الدراسية، في يوم واحد فقط، عبر 10 آلاف.",gemini-2.5-flash,0.7,42
SENT_015033,عجييييييب 😻😻😻😻#MannequinChallenge https://t.co/DSSXytSw99,positive,positive,ArSarcasm,msa,False,semeval,train,خرافي!,gemini-2.5-flash,0.7,42
SENT_007150,# تقريبا دي اكتر حاجة قريتها جسدت المذبحة اللي حصلت لاقرب ما يمكن #مذبحة_بورسعيد,NEG,negative,ASTD,unknown,unknown,ASTD,full,على ما أظن، مفيش حاجة قريتها نقلت حقيقة المذبحة اللي حصلت زي النص ده بالظبط.,gemini-2.5-flash,0.7,42
SENT_003266,90 قتيلا من قوات #الأسد بانفجار مبنى غرفة الصناعة في منطقة حلب القديمة ، ما أدى إلى انهياره بالكامل ، وإصابة مبنى شعبة حزب البعث #سوريا,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,لقي 90 عنصراً من قوات الأسد مصرعهم جراء انفجار وقع في مبنى غرفة الصناعة بمنطقة حلب القديمة، ما أدى إلى انهياره التام وإلحاق أضرار بمبنى شعبة حزب البعث.,gemini-2.5-flash,0.7,42
SENT_005504,"مقتل سعيد فضة أكبر مورد بلطجية فى #شبرا_الخيمة وعميل أمن الدولة """,NEG,negative,ASTD,unknown,unknown,ASTD,full,تأكيد مقتل سعيد فضة، المعروف بكونه أكبر مورد للبلطجية في شبرا الخيمة، وعميل جهاز أمن الدولة.,gemini-2.5-flash,0.7,42
SENT_009220,اللہم أجعل قلوبنا رقيقہ من خشيٺگ ، جميلہ بذگرڳ ، نقيہ بحبگ ! #مصطفى_حسني,NEG,negative,ASTD,unknown,unknown,ASTD,full,اللهم اجعل أفئدتنا لينة من خشيتك، عامرة بذكرك، طاهرة بحبك.,gemini-2.5-flash,0.7,42
SENT_016210,@AlameerMeroo94 داعش جانت بنص العراق 😉 والحليم من الإشارة يفهم,neutral,neutral,ArSarcasm,egypt,False,semeval,train,داعش جانت موجودة بقلب العراق، والحليم من الإشارة يفهم.,gemini-2.5-flash,0.7,42
SENT_007505,تهنئة لكل طالب وطالبة قضوا ما يزيد عن 150 يوماً معتصمين وواجهوا كل انواع التنكيل #جامعة_النيل,POS,positive,ASTD,unknown,unknown,ASTD,full,نبارك لكل طالب وطالبة من جامعة النيل الذين خاضوا اعتصاماً تجاوز 150 يوماً، وصمدوا في وجه كل أشكال التنكيل.,gemini-2.5-flash,0.7,42
SENT_006189,دقائق معدودة بأجر غير محسوب سبحان الله وبحمده سبحان الله العظيم,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,ثواب لا يُعد ولا يُحصى في بضع دقائق فقط، سبحان الله وبحمده سبحان الله العظيم.,gemini-2.5-flash,0.7,42
SENT_019987,اللہم أجعل قلوبنا رقيقہ من خشيٺگ ، جميلہ بذگرڳ ، نقيہ بحبگ ! #مصطفى_حسني,positive,positive,ArSarcasm,msa,False,astd,test,يا رب، اجعل قلوبنا لينة بخشيتك، عامرة بذكرك، وصافية بحبك.,gemini-2.5-flash,0.7,42
SENT_011191,دبي تستضيف «برولايت آند ساوند» 31 الجاري——————————-دبي:«الخليج»أعلنت «ميسي فرانكفورت الشرق الأوسط»، عن إطلاق... https://t.co/z0RgVc6iB1,neutral,neutral,ArSarcasm,msa,False,semeval,train,أعلنت «ميسي فرانكفورت الشرق الأوسط» عن استضافة دبي لفعالية «برولايت آند ساوند» بتاريخ 31 الجاري.,gemini-2.5-flash,0.7,42
SENT_003563,قطر #فودافون,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,فودافون في قطر,gemini-2.5-flash,0.7,42
SENT_011617,"RT @vabdola: وائل الفخراني: لماذا تركت ""جوجل"" لأنضم إلى ""كريم""؟ | مقال مُترجمhttps://t.co/AAAW0CYEmv",neutral,neutral,ArSarcasm,msa,False,semeval,train,"وائل الفخراني يتحدث عن سبب تركه لـ ""جوجل"" وانتقاله إلى ""كريم"" | مقال مُترجم",gemini-2.5-flash,0.7,42
SENT_000258,افتكرت تعليق علاء الحامولي ع اللي حصل لعادل الأمور في ماتش المنيا زمااااان بس لسه شغال,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,افتكرت تعليق علاء الحامولي على اللي حصل لعادل الأمور في ماتش المنيا من زمن بعيد أوي، بس لسه كلامه ماشي لحد دلوقتي.,gemini-2.5-flash,0.7,42
SENT_012766,@Celebrities_Mag سوري بس وين نوال الزغبي و نجوى كرم كأفضل فنانين؟؟؟؟هني لازم يكونو قبل الكل؟؟,neutral,neutral,ArSarcasm,levant,False,semeval,train,عفواً، بس وين نوال الزغبي ونجوى كرم من قائمة أفضل الفنانين؟ هني المفروض يكونوا بالصدارة وقبل أي حدا!,gemini-2.5-flash,0.7,42
SENT_002582,من الأمور الهامة لتنمية #الحب بين الزوجين التفاعل مع أزمات شريك #الحياة فلذلك أثر كبير في بناء المودة بين الزوجين وجعلهما أكثر قربًا ومحبة,POS,positive,ASTD,unknown,unknown,ASTD,full,إن التفاعل الإيجابي مع الصعوبات التي يواجهها شريك الحياة أمر أساسي لتعزيز مشاعر #الحب بين الزوجين. فهذا يساهم بشكل كبير في توطيد المودة بينهما وزيادة ترابطهما ومحبتهما لبعضهما البعض.,gemini-2.5-flash,0.7,42
SENT_001078,أحمد الله العلى القدير على ما شاء وقدر، واشكره سبحانه شكراً جزيلاً على تقديره نجاتى,POS,positive,ASTD,unknown,unknown,ASTD,full,أحمده سبحانه على ما قضى وقدر، وأشكره شكراً عظيماً على تفضله بنجاتي.,gemini-2.5-flash,0.7,42
SENT_014925,القهوة ليست مجرد مشروب ... القهوة أسلوب حياة .إبدأ يومك بقهوة دالماير#Coffeelover #coffeebreak #New_year_eve… https://t.co/Kjs4d432Lz,positive,positive,ArSarcasm,msa,False,semeval,train,القهوة ليست مجرد سائل يُشرب، بل هي فلسفة حياة. اجعل قهوة دالماير انطلاقة يومك.,gemini-2.5-flash,0.7,42
SENT_013559,صورة: كاسياس يحتفل بالانتصار في ديربي مدريد https://t.co/JasRYmGOkb #غزة #فلسطين,positive,positive,ArSarcasm,msa,False,semeval,train,تُظهر هذه الصورة كاسياس وهو يحتفل بالانتصار في ديربي مدريد. #غزة #فلسطين,gemini-2.5-flash,0.7,42
SENT_016729,تعريص #برهامي ووساخة حزبه والدعوة السفهية بدأوا من يوم ما دعموا #أبو_الفتوح مش حاجة مستجدة !,negative,negative,ArSarcasm,egypt,False,astd,train,فجور برهامي، وقذارة حزبه، وتوجهات الدعوة السلفية السفهية نفسها، كلها أمور بانت من يوم ما دعموا أبو الفتوح، ومش حاجة جديدة!,gemini-2.5-flash,0.7,42
SENT_014927,شكراً لكم من #القلب 😘😍😘😍😘😍 #شاهدين لي #بالخير لا #علي#حب_النصر_يجمعنا #برشلونة #فلسطين 💛💙🇵🇸💙❤#ريان_الغامدي https://t.co/uel770lK6X,positive,positive,ArSarcasm,msa,False,semeval,train,أشكركم جزيل الشكر من أعماق قلبي، يا من تشاركوني حب نادي النصر ودعم قضية فلسطين. أتمنى أن تكونوا دائمًا شاهدين لي بالخير لا ضدي.,gemini-2.5-flash,0.7,42
SENT_015300,"انشرُوا التذكير بالتكبير و أحيُوا سُنّة هذه العشر "" الله أكبر الله أكبر لا إله إلا الله الله أكبر الله أكبر ولله الحمد ""…",positive,positive,ArSarcasm,msa,False,astd,train,تناقلوا تذكير التكبير، وأعيدوا إحياء سنة هذه الأيام المباركة، وذلك بقول: الله أكبر الله أكبر لا إله إلا الله الله أكبر الله أكبر ولله الحمد.,gemini-2.5-flash,0.7,42
SENT_016852,نصر محروس,neutral,neutral,ArSarcasm,msa,False,astd,train,الشخص نصر محروس,gemini-2.5-flash,0.7,42
SENT_010714,استشهاد جنود مصريين على الحدود بنيران صهيونية جريمة غير مقبولة دماء هؤلاء الشهداء تستدعى موقفا جادا حفاظا على كرامتنا وصيانة لحدودنا,negative,negative,ArSarcasm,msa,False,astd,train,استشهاد جنودنا المصريين على الحدود بنيران صهيونية عمل إجرامي مرفوض تماماً. دماء هؤلاء الشهداء تستلزم منا وقفة جادة لحماية كرامتنا وصون حدودنا.,gemini-2.5-flash,0.7,42
SENT_016637,احنا اسكندرانية ونعجبوك,positive,positive,ArSarcasm,egypt,False,astd,train,إحنا إسكندرانية، يعني ناس تعجبك.,gemini-2.5-flash,0.7,42
SENT_016803,فخورة بكِ يا صديقتي، ومعك دائما، حتى وأنتِ تغردين خارج السرب 💕#معرض_الكويت_الدولي_للكتاب#كتاب https://t.co/PeKs0f45tp,positive,positive,ArSarcasm,gulf,False,semeval,train,فخورة بكِ يا صديقتي، وإلى جانبكِ دوماً، حتى لو كنتِ تسيرين عكس التيار.,gemini-2.5-flash,0.7,42
SENT_009406,أمي ولك في هذا اليوم دعوه ؛ حفظك الله من كل سوء ياجنتي حفظ الله أمي وأمهاتكم وجميع أمهات المسلمين #عيد_الأم …,POS,positive,ASTD,unknown,unknown,ASTD,full,يا أمي، في هذا اليوم، أرفع دعائي لكِ: أن يحفظك الله من كل مكروه، فأنتِ جنتي. اللهم احفظ أمي وأمهاتكم وكل أمهات المسلمين.,gemini-2.5-flash,0.7,42
SENT_003210,"ندوة توقيع رواية ""نادي السيارات "" بأتيليه الأسكندرية السبت 20 أبريل السابعة مساءً >> التفاصيل >> الأدمن",OBJ,neutral,ASTD,unknown,unknown,ASTD,full,"إقامة ندوة لتوقيع رواية ""نادي السيارات"" بأتيليه الإسكندرية، وذلك يوم السبت الموافق 20 أبريل، في تمام الساعة السابعة مساءً. للاستفسار عن التفاصيل، يرجى مراجعة الأدمن.",gemini-2.5-flash,0.7,42
SENT_018140,"القرآن الكريم مُعَّلق في بيوتنا ولكن لم نشعر أننا هجرناه كما شعرنا أن #الواتساب_معلق ! آخر حالة ظهور للمصحف عند البعض""ر…",negative,negative,ArSarcasm,msa,True,astd,test,"القرآن الكريم معلق في بيوتنا، لكننا لم نشعر بمدى هجراننا له كما شعرنا بالضيق عندما أصبح #الواتساب_معلقًا! آخر حالة ظهور للمصحف عند البعض ""ر...""",gemini-2.5-flash,0.7,42
SENT_018330,@Lebanonontime ليس النقض حقا و لكنه الارهاب ! #لافروف اليس سخيفا ملاحقة الارهاب وهو يقيم في #مجلس_الأمن #بدنا_نحاسب #هوا_الحريه #طلعت_ريحتكم,negative,negative,ArSarcasm,msa,False,semeval,test,حق النقض هيدا مش حق أبداً، هيدا إرهاب صريح! مش سخافة إنو نلاحق الإرهاب وهو قاعد بقلب مجلس الأمن؟ خلص، بدنا نحاسب، وريحتكم طلعت على حقيقتها!,gemini-2.5-flash,0.7,42
SENT_014294,الى كل مشجعي المايسترو روجير فيدرر في شتى بقاع الأرض الي ما صوته إلى الآن رجاءً يصوت له على الرابط في التغريدة السابقة و شكراً ❤️,positive,positive,ArSarcasm,msa,False,semeval,train,يا جماهير المايسترو روجير فيدرر في كل مكان، اللي لسه ما صوتوا له، فضلاً صوتوا له من خلال الرابط الموجود في التغريدة اللي فاتت. شكراً لكم ❤️,gemini-2.5-flash,0.7,42
SENT_010187,#أحمد_حلمى يشكر #مهرجان_القاهرة_السينمائى على تكريمه:سأفتخر به طيلة حياتىCBC الراعى الإعلامي الرسمي لمهرجان القاهر… https://t.co/8jI59ED6Tf,positive,positive,ArSarcasm,msa,False,semeval,train,أحمد حلمي يوجه شكره لمهرجان القاهرة السينمائي على تكريمه، مؤكداً أن هذا التكريم سيظل مدعاة فخر له طيلة حياته.,gemini-2.5-flash,0.7,42
SENT_016365,#اعرفوهم #انقلاب_مصر #يسقط_حكم_العسكر #الداخلية_بلطجية #الحرية لنور الدين محمود 15سنة #الدقهلية طالب بالثانوي الأزهري,negative,negative,ArSarcasm,msa,True,astd,train,لازم تعرفوا مين دول! اللي بيحصل في مصر ده انقلاب، ولازم يسقط حكم العسكر. الداخلية بلطجية. بنطالب بالحرية لنور الدين محمود، طالب الثانوي الأزهري اللي عنده ١٥ سنة من الدقهلية.,gemini-2.5-flash,0.7,42
SENT_002095,الجو هنا ناااااااار فى الصعيد ياريت رتويت قبل الانصهار #جمعية_الاقل_من1000_فولورز,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,الحرارة هنا في الصعيد جهنم، يا ريت تعملوا رتويت قبل ما أسيح من السخونة. #جمعية_الاقل_من1000_متابع,gemini-2.5-flash,0.7,42
SENT_007623,شبكه اخبار #المحله | متابعات | صورة اخرى من معرض السيارات الذى قام مجهولون باشعال النيران فى السيارات المتواجده,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,شبكة أخبار المحلة | متابعة | دي صورة تانية من معرض العربيات اللي مجهولين ولعوا نار في العربيات اللي كانت موجودة فيه.,gemini-2.5-flash,0.7,42
SENT_014809,في نفس المكان، عقدة الراموسة، الذي منه أجبرت آﻻف العائﻻت الحلبية على مغادرة منازلها في أحياء حلب الشرقية باتجاه... https://t.co/pfIr04jsi0,negative,negative,ArSarcasm,msa,False,semeval,train,عقدة الراموسة، هي النقطة ذاتها التي شهدت إجبار آلاف الأسر الحلبية على ترك منازلها في الأحياء الشرقية لحلب، متوجهين نحو...,gemini-2.5-flash,0.7,42
SENT_001501,عائلة إماراتية في سوق واقف ومشاعر أخويه غير مستغربه #سحب_السفراء_من_قطر,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,منظر عائلة إماراتية بسوق واقف والمشاعر الأخوية الصادقة بينهم، شيء متعودين عليه وما هو غريب أبدًا.,gemini-2.5-flash,0.7,42
SENT_017217,عايزه اعمل مجتمع ربعاوى بعيد عن الفلول و اللى عايزهم #فلول # شعب بلا اخلاق #ستحاسبووون,negative,negative,ArSarcasm,egypt,True,astd,train,أنا عايزة أعمل مجتمع على أسس رابعة، بعيد عن الفلول واللي بيسندوهم. دول شعب بلا أخلاق، وهتتحاسبوا حساب عسير!,gemini-2.5-flash,0.7,42
SENT_002281,"#اعترافات_الطفولة كنت اصوت حق بشار الشطي من فون ابوي كل ما يطلع نومينيه 😂😂""",OBJ,neutral,ASTD,unknown,unknown,ASTD,full,أيام الطفولة، كنت أحرص إني أصوت حق بشار الشطي من فون أبوي كل ما يصير نومينيه.,gemini-2.5-flash,0.7,42
SENT_020069,RT @tjshghg: ضربةحرة ضائعة للبرشا والآمال لازالت معلقة بالفوزجوالhttps://t.co/g05NYwvEqUيوتيوبhttps://t.co/g05NYwvEqU#برشلونة_الافيس#…,negative,negative,ArSarcasm,gulf,False,semeval,test,أضاع البرشا ضربة حرة، لكن الآمال بالفوز لم تنقطع بعد.,gemini-2.5-flash,0.7,42
SENT_014869,الله يبركلك يا دكتور ابو الفتوح #,positive,positive,ArSarcasm,msa,False,astd,train,ربنا يبارك فيك يا دكتور ابو الفتوح,gemini-2.5-flash,0.7,42
SENT_013906,تنمية بشرية - 3 دقائق للتأجيل والمماطلة #ماذا_لو_المدارس_مختلطهxatoildb.thshttps://t.co/WH2pPoi0UX,neutral,neutral,ArSarcasm,msa,False,semeval,train,محتوى في مجال التنمية البشرية، مدته 3 دقائق، يتناول التأجيل والمماطلة. #ماذا_لو_المدارس_مختلطه https://t.co/WH2pPoi0UX,gemini-2.5-flash,0.7,42
SENT_010242,RT @TustarNet: إيران تلوث بيئة الأحواز ، وإصابة ٢٧ الف بالسرطان خلال شهرين -... https://t.co/zZAxt7ILbF,negative,negative,ArSarcasm,msa,False,semeval,train,تواصل إيران تلويث بيئة الأحواز، مما أدى إلى تسجيل 27 ألف حالة سرطان خلال شهرين.,gemini-2.5-flash,0.7,42
SENT_003380,مااحلى شعارك ومدافعك ياقنرررزز #ارسنال,POS,positive,ASTD,unknown,unknown,ASTD,full,ما أروع شعارك ومدافعيك يا مدفعجية!,gemini-2.5-flash,0.7,42
SENT_007199,اللهم ارزقنا نعيم الجنه آمين,POS,positive,ASTD,unknown,unknown,ASTD,full,اللهم وهب لنا نعيم الجنة آمين,gemini-2.5-flash,0.7,42
SENT_012234,الحمد لله حققنا مستهدف حملة ال21 يوم لمحو الأمية شكرا لشباب صناع الحياة و لكل شركاء الحملة يا رب أعنا على,positive,positive,ArSarcasm,egypt,False,astd,train,الحمد لله، أنجزنا مستهدف حملة الـ21 يوم لمحو الأمية. كل الشكر لشباب صناع الحياة ولكل شركاء الحملة. يا رب أعنا على إكمال المشوار.,gemini-2.5-flash,0.7,42
SENT_014494,مقنبعه بين اردوغان و طفل ايران العبادي ههههههههههههههههههههههههههههههههه,negative,negative,ArSarcasm,msa,True,semeval,train,محشورة بين أردوغان وطفل إيران العبادي ههههههههههههههههههههههههههههههههه,gemini-2.5-flash,0.7,42
SENT_003853,عاطف الجوهرى - #إفتكروهم #المجد_للشهداء,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,تذكروا شهداءنا. المجد لهم.,gemini-2.5-flash,0.7,42
