id,text,sentiment_original,sentiment_unified,dataset,dialect,sarcasm,source,split
SENT_020165,2008 الشرطة التركية اليوم تفرق المظاهرات ضد اردوغان بالقوة بينما يندد هو بفض اعتصامات رابعة,negative,negative,ArSarcasm,msa,True,astd,test
SENT_006115,خطاب مرسي بداية جيدة نتمنى ان يكون ذلك بداية لتوحيد الصفوف ضد العسكر,POS,positive,ASTD,unknown,unknown,ASTD,full
SENT_018655,#موسكو ستطلب من #الناتو ردودا بناءة#اسأل_أكثرhttps://t.co/sf4YPWnbKB https://t.co/oKndG3ucgI,neutral,neutral,ArSarcasm,msa,False,semeval,test
SENT_002182,وحكاية إنه يكتب البذاءات دي بقت قديمة خالصده أكثر الأفلام إسفافا أرقى من خطب بعض مشايخكم اللي طلعتوهم على منصة دعم كذب الرئيسإلعبوا غيرها,NEG,negative,ASTD,unknown,unknown,ASTD,full
SENT_009322,يامبرراتي ياللي مش مكسوف من نفسكماكانش حد هيفتح بقه لو رئيسك قال من الأول انا مااشتغلتش مع ناسا مباشرة ولاعمري رحتها كنت في جامعتي بس,NEG,negative,ASTD,unknown,unknown,ASTD,full
SENT_008145,شاهد - آخر كلام: لماذا مليونية الجمعة 8 يوليو # والد أحد شهداء,POS,positive,ASTD,unknown,unknown,ASTD,full
SENT_015883,#افضل_طقم_لروجر_فيدررأستراليا 2012مجررررررررم  https://t.co/wcUyd5u2kN,negative,negative,ArSarcasm,egypt,False,semeval,train
SENT_003924,"بخصوص التحرش #تحرش #حقيقة #بنات يقولون لو تسترت البقره ماتعرضلها الثور ""̮",OBJ,neutral,ASTD,unknown,unknown,ASTD,full
SENT_018866,اظن ان من افسد شيئا فعليه اصلاحه يجب اعلان الجماعه الاسلاميه والاخوان منظمات ارهابية واصلاح ما افسدو…,negative,negative,ArSarcasm,msa,False,astd,test
SENT_010331,مصر دولة بس مش أوي #المادة_الأولى,negative,negative,ArSarcasm,egypt,True,astd,train
SENT_018865,#بروباجندا | #الجيش_السوري يعتزم تحرير #حلب قبل تنصيب «#ترامب»رسمياالتفاصيل على الرابط التالي https://t.co/zQndoda30U,neutral,neutral,ArSarcasm,msa,False,semeval,test
SENT_012322,للمرة الأولى ميريام فارس تنشر فيديو لطفلها جايدن وتنهال عليها التعليقات...وشاهد زوجها الوسيم وصور زفافها... https://t.co/A110FgzmeU,positive,positive,ArSarcasm,egypt,False,semeval,train
SENT_010681,RT @RM_News4: فيديو | تصدي رائع من كارفخال على خط المرمى. يتليه تألق الحارس كاسيا في تدريبات ريال مدريد اليوم . https://t.co/GR3YpQ8g5Y,positive,positive,ArSarcasm,msa,False,semeval,train
SENT_010202,يوم 7/7، يوم هام في مشروع (العلم قوة) وهدفه جذب وتسكين 100 ألف أمي داخل الفصول، في يوم واحد، عن طريق 10 ألاف,positive,positive,ArSarcasm,msa,False,astd,train
SENT_015033,عجييييييب 😻😻😻😻#MannequinChallenge https://t.co/DSSXytSw99,positive,positive,ArSarcasm,msa,False,semeval,train
SENT_007150,# تقريبا دي اكتر حاجة قريتها جسدت المذبحة اللي حصلت لاقرب ما يمكن #مذبحة_بورسعيد,NEG,negative,ASTD,unknown,unknown,ASTD,full
SENT_003266,90 قتيلا من قوات #الأسد بانفجار مبنى غرفة الصناعة في منطقة حلب القديمة ، ما أدى إلى انهياره بالكامل ، وإصابة مبنى شعبة حزب البعث #سوريا,OBJ,neutral,ASTD,unknown,unknown,ASTD,full
SENT_005504,"مقتل سعيد فضة أكبر مورد بلطجية فى #شبرا_الخيمة وعميل أمن الدولة """,NEG,negative,ASTD,unknown,unknown,ASTD,full
SENT_009220,اللہم أجعل قلوبنا رقيقہ من خشيٺگ ، جميلہ بذگرڳ ، نقيہ بحبگ ! #مصطفى_حسني,NEG,negative,ASTD,unknown,unknown,ASTD,full
SENT_016210,@AlameerMeroo94 داعش جانت بنص العراق 😉 والحليم من الإشارة يفهم,neutral,neutral,ArSarcasm,egypt,False,semeval,train
SENT_007505,تهنئة لكل طالب وطالبة قضوا ما يزيد عن 150 يوماً معتصمين وواجهوا كل انواع التنكيل #جامعة_النيل,POS,positive,ASTD,unknown,unknown,ASTD,full
SENT_006189,دقائق معدودة بأجر غير محسوب سبحان الله وبحمده سبحان الله العظيم,OBJ,neutral,ASTD,unknown,unknown,ASTD,full
SENT_019987,اللہم أجعل قلوبنا رقيقہ من خشيٺگ ، جميلہ بذگرڳ ، نقيہ بحبگ ! #مصطفى_حسني,positive,positive,ArSarcasm,msa,False,astd,test
SENT_011191,دبي تستضيف «برولايت آند ساوند» 31 الجاري——————————-دبي:«الخليج»أعلنت «ميسي فرانكفورت الشرق الأوسط»، عن إطلاق... https://t.co/z0RgVc6iB1,neutral,neutral,ArSarcasm,msa,False,semeval,train
